Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5312,Area harvested,711,"Anise, badian, fennel, coriander",2016,2016,ha,209,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,711,"Anise, badian, fennel, coriander",2017,2017,ha,214,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,711,"Anise, badian, fennel, coriander",2018,2018,ha,202,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,711,"Anise, badian, fennel, coriander",2019,2019,ha,209,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,711,"Anise, badian, fennel, coriander",2016,2016,hg/ha,3923,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,711,"Anise, badian, fennel, coriander",2017,2017,hg/ha,3832,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,711,"Anise, badian, fennel, coriander",2018,2018,hg/ha,3812,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,711,"Anise, badian, fennel, coriander",2019,2019,hg/ha,3732,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,711,"Anise, badian, fennel, coriander",2016,2016,tonnes,82,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,711,"Anise, badian, fennel, coriander",2017,2017,tonnes,82,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,711,"Anise, badian, fennel, coriander",2018,2018,tonnes,77,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,711,"Anise, badian, fennel, coriander",2019,2019,tonnes,78,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,515,Apples,2016,2016,ha,82,,Official data
QC,Crops,114,Kenya,5312,Area harvested,515,Apples,2017,2017,ha,74,,Official data
QC,Crops,114,Kenya,5312,Area harvested,515,Apples,2018,2018,ha,238,,Official data
QC,Crops,114,Kenya,5312,Area harvested,515,Apples,2019,2019,ha,108,,Official data
QC,Crops,114,Kenya,5419,Yield,515,Apples,2016,2016,hg/ha,75976,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,515,Apples,2017,2017,hg/ha,40541,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,515,Apples,2018,2018,hg/ha,17899,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,515,Apples,2019,2019,hg/ha,65000,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,515,Apples,2016,2016,tonnes,623,,Official data
QC,Crops,114,Kenya,5510,Production,515,Apples,2017,2017,tonnes,300,,Official data
QC,Crops,114,Kenya,5510,Production,515,Apples,2018,2018,tonnes,426,,Official data
QC,Crops,114,Kenya,5510,Production,515,Apples,2019,2019,tonnes,702,,Official data
QC,Crops,114,Kenya,5312,Area harvested,526,Apricots,2016,2016,ha,17,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,526,Apricots,2017,2017,ha,17,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,526,Apricots,2018,2018,ha,18,Im,FAO data based on imputation methodology
