Domain,Area,Element,Crop,Year,Unit,Value
Crops,Burundi,Area harvested,Bananas,2016,ha,125207
Crops,Burundi,Area harvested,Bananas,2017,ha,105885
Crops,Burundi,Area harvested,Bananas,2018,ha,216229
Crops,Burundi,Area harvested,Bananas,2019,ha,152373
Crops,Burundi,Area harvested,"Beans, dry",2016,ha,588096
Crops,Burundi,Area harvested,"Beans, dry",2017,ha,574267
Crops,Burundi,Area harvested,"Beans, dry",2018,ha,599139
Crops,Burundi,Area harvested,"Beans, dry",2019,ha,982533
Crops,Burundi,Area harvested,"Cashew nuts, with shell",2017,ha,283791
Crops,Burundi,Area harvested,"Cashew nuts, with shell",2018,ha,283986
Crops,Burundi,Area harvested,"Cashew nuts, with shell",2019,ha,276365
Crops,Burundi,Area harvested,Cassava,2016,ha,213118
Crops,Burundi,Area harvested,Cassava,2017,ha,308949
Crops,Burundi,Area harvested,Cassava,2018,ha,295769
Crops,Burundi,Area harvested,Cassava,2019,ha,296000
Crops,Burundi,Area harvested,Castor oil seed,2016,ha,0
Crops,Burundi,Area harvested,Castor oil seed,2017,ha,0
Crops,Burundi,Area harvested,Castor oil seed,2018,ha,0
Crops,Burundi,Area harvested,Castor oil seed,2019,ha,0
Crops,Burundi,Area harvested,"Groundnuts, with shell",2016,ha,12149
Crops,Burundi,Area harvested,"Groundnuts, with shell",2017,ha,11064
Crops,Burundi,Area harvested,"Groundnuts, with shell",2018,ha,19222
Crops,Burundi,Area harvested,"Groundnuts, with shell",2019,ha,16275
Crops,Burundi,Area harvested,Maize,2016,ha,164306
Crops,Burundi,Area harvested,Maize,2017,ha,175965
Crops,Burundi,Area harvested,Maize,2018,ha,190003
Crops,Burundi,Area harvested,Maize,2019,ha,270755
Crops,Burundi,Area harvested,Millet,2016,ha,8947
Crops,Burundi,Area harvested,Millet,2017,ha,8888
Crops,Burundi,Area harvested,Millet,2018,ha,8829
Crops,Burundi,Area harvested,Millet,2019,ha,8770
Crops,Burundi,Area harvested,Oil palm fruit,2016,ha,8861
Crops,Burundi,Area harvested,Oil palm fruit,2017,ha,8931
Crops,Burundi,Area harvested,Oil palm fruit,2018,ha,8928
Crops,Burundi,Area harvested,Oil palm fruit,2019,ha,8940
Crops,Burundi,Area harvested,"Peas, dry",2016,ha,3281
Crops,Burundi,Area harvested,"Peas, dry",2017,ha,3362
Crops,Burundi,Area harvested,"Peas, dry",2018,ha,2572
Crops,Burundi,Area harvested,"Peas, dry",2019,ha,3235
Crops,Burundi,Area harvested,Potatoes,2016,ha,13769
Crops,Burundi,Area harvested,Potatoes,2017,ha,19987
Crops,Burundi,Area harvested,Potatoes,2018,ha,27097
Crops,Burundi,Area harvested,Potatoes,2019,ha,53689
Crops,Burundi,Area harvested,"Rice, paddy",2016,ha,63751
Crops,Burundi,Area harvested,"Rice, paddy",2017,ha,49501
Crops,Burundi,Area harvested,"Rice, paddy",2018,ha,49813
Crops,Burundi,Area harvested,"Rice, paddy",2019,ha,58997
Crops,Burundi,Area harvested,Seed cotton,2016,ha,2955
Crops,Burundi,Area harvested,Seed cotton,2017,ha,2615
Crops,Burundi,Area harvested,Seed cotton,2018,ha,3032
Crops,Burundi,Area harvested,Seed cotton,2019,ha,2400
Crops,Burundi,Area harvested,Sorghum,2016,ha,42526
Crops,Burundi,Area harvested,Sorghum,2017,ha,39234
Crops,Burundi,Area harvested,Sorghum,2018,ha,42513
Crops,Burundi,Area harvested,Sorghum,2019,ha,15809
Crops,Burundi,Area harvested,Soybeans,2016,ha,7315
Crops,Burundi,Area harvested,Soybeans,2017,ha,4491
Crops,Burundi,Area harvested,Soybeans,2018,ha,4582
Crops,Burundi,Area harvested,Soybeans,2019,ha,4600
Crops,Burundi,Area harvested,Sugar cane,2016,ha,3033
Crops,Burundi,Area harvested,Sugar cane,2017,ha,3250
Crops,Burundi,Area harvested,Sugar cane,2018,ha,3057
Crops,Burundi,Area harvested,Sugar cane,2019,ha,2668
Crops,Burundi,Area harvested,Sweet potatoes,2016,ha,54584
