Domain,Area,Element,Crop,Year,Unit,Value
Crops,Burundi,Production,Bananas,2016,tonnes,911193
Crops,Burundi,Production,Bananas,2017,tonnes,830957
Crops,Burundi,Production,Bananas,2018,tonnes,1654955
Crops,Burundi,Production,Bananas,2019,tonnes,1179759
Crops,Burundi,Production,"Beans, dry",2016,tonnes,375863
Crops,Burundi,Production,"Beans, dry",2017,tonnes,371211
Crops,Burundi,Production,"Beans, dry",2018,tonnes,393233
Crops,Burundi,Production,"Beans, dry",2019,tonnes,619151
Crops,Burundi,Production,"Cashew nuts, with shell",2017,tonnes,215765
Crops,Burundi,Production,"Cashew nuts, with shell",2018,tonnes,266389
Crops,Burundi,Production,"Cashew nuts, with shell",2019,tonnes,283328
Crops,Burundi,Production,Cassava,2016,tonnes,2394982
Crops,Burundi,Production,Cassava,2017,tonnes,2285265
Crops,Burundi,Production,Cassava,2018,tonnes,2386709
Crops,Burundi,Production,Cassava,2019,tonnes,2408958
Crops,Burundi,Production,Castor oil seed,2016,tonnes,0
Crops,Burundi,Production,Castor oil seed,2017,tonnes,0
Crops,Burundi,Production,Castor oil seed,2018,tonnes,0
Crops,Burundi,Production,Castor oil seed,2019,tonnes,0
Crops,Burundi,Production,"Groundnuts, with shell",2016,tonnes,7345
Crops,Burundi,Production,"Groundnuts, with shell",2017,tonnes,8923
Crops,Burundi,Production,"Groundnuts, with shell",2018,tonnes,12372
Crops,Burundi,Production,"Groundnuts, with shell",2019,tonnes,9813
Crops,Burundi,Production,Maize,2016,tonnes,243740
Crops,Burundi,Production,Maize,2017,tonnes,228355
Crops,Burundi,Production,Maize,2018,tonnes,290498
Crops,Burundi,Production,Maize,2019,tonnes,270813
Crops,Burundi,Production,Millet,2016,tonnes,10019
Crops,Burundi,Production,Millet,2017,tonnes,9955
Crops,Burundi,Production,Millet,2018,tonnes,9891
Crops,Burundi,Production,Millet,2019,tonnes,9827
Crops,Burundi,Production,Oil palm fruit,2016,tonnes,88011
Crops,Burundi,Production,Oil palm fruit,2017,tonnes,88637
Crops,Burundi,Production,Oil palm fruit,2018,tonnes,88533
Crops,Burundi,Production,Oil palm fruit,2019,tonnes,88574
Crops,Burundi,Production,"Peas, dry",2016,tonnes,18764
Crops,Burundi,Production,"Peas, dry",2017,tonnes,19056
Crops,Burundi,Production,"Peas, dry",2018,tonnes,10000
Crops,Burundi,Production,"Peas, dry",2019,tonnes,12734
Crops,Burundi,Production,Potatoes,2016,tonnes,145687
Crops,Burundi,Production,Potatoes,2017,tonnes,204891
Crops,Burundi,Production,Potatoes,2018,tonnes,302665
Crops,Burundi,Production,Potatoes,2019,tonnes,376441
Crops,Burundi,Production,"Rice, paddy",2016,tonnes,146633
Crops,Burundi,Production,"Rice, paddy",2017,tonnes,88298
Crops,Burundi,Production,"Rice, paddy",2018,tonnes,89296
Crops,Burundi,Production,"Rice, paddy",2019,tonnes,88510
Crops,Burundi,Production,Seed cotton,2016,tonnes,2010
Crops,Burundi,Production,Seed cotton,2017,tonnes,1835
Crops,Burundi,Production,Seed cotton,2018,tonnes,2066
Crops,Burundi,Production,Seed cotton,2019,tonnes,1749
Crops,Burundi,Production,Sorghum,2016,tonnes,29665
Crops,Burundi,Production,Sorghum,2017,tonnes,25499
Crops,Burundi,Production,Sorghum,2018,tonnes,28472
Crops,Burundi,Production,Sorghum,2019,tonnes,8851
Crops,Burundi,Production,Soybeans,2016,tonnes,2395
Crops,Burundi,Production,Soybeans,2017,tonnes,2167
